iter	Passed	Remaining
881	40646	5437
882	40690	5391
883	40732	5344
884	40784	5299
885	40834	5254
886	40881	5208
887	40930	5162
888	40983	5117
889	41028	5070
890	41088	5026
891	41141	4981
892	41199	4936
893	41256	4891
894	41308	4846
895	41355	4800
896	41412	4755
897	41457	4708
898	41510	4663
899	41559	4617
900	41608	4571
901	41654	4525
902	41697	4479
903	41746	4433
904	41787	4386
905	41836	4340
906	41894	4295
907	41942	4249
908	41992	4203
909	42047	4158
910	42094	4112
911	42142	4066
912	42191	4020
913	42241	3974
914	42296	3929
915	42344	3883
916	42383	3836
917	42432	3790
918	42488	3744
919	42536	3698
920	42586	3652
921	42644	3607
922	42692	3561
923	42742	3515
924	42792	3469
925	42842	3423
926	42887	3377
927	42935	3331
928	42988	3285
929	43030	3238
930	43079	3192
931	43118	3145
932	43163	3099
933	43212	3053
934	43263	3007
935	43309	2961
936	43350	2914
937	43397	2868
938	43455	2822
939	43500	2776
940	43557	2731
941	43604	2684
942	43648	2638
943	43696	2592
944	43736	2545
945	43787	2499
946	43836	2453
947	43884	2407
948	43934	2361
949	43982	2314
950	44030	2268
951	44081	2222
952	44123	2176
953	44176	2130
954	44220	2083
955	44263	2037
956	44303	1990
957	44360	1944
958	44402	1898
959	44457	1852
960	44502	1806
961	44551	1759
962	44601	1713
963	44652	1667
964	44702	1621
965	44755	1575
966	44804	1528
967	44851	1482
968	44893	1436
969	44936	1389
970	44987	1343
971	45026	1297
972	45071	1250
973	45118	1204
974	45166	1158
975	45217	1111
976	45266	1065
977	45317	1019
978	45365	973
979	45413	926
980	45471	880
981	45518	834
982	45569	788
983	45620	741
984	45667	695
985	45717	649
986	45765	602
987	45803	556
988	45850	509
989	45896	463
990	45944	417
991	45992	370
992	46045	324
993	46090	278
994	46137	231
995	46183	185
996	46221	139
997	46271	92
998	46322	46
999	46371	0
