iter	Passed	Remaining
537	21473	18439
538	21512	18399
539	21551	18358
540	21588	18316
541	21620	18269
542	21661	18230
543	21696	18186
544	21734	18145
545	21768	18100
546	21805	18057
547	21845	18018
548	21885	17978
549	21921	17935
550	21954	17890
551	21990	17847
552	22032	17809
553	22068	17765
554	22104	17723
555	22143	17682
556	22175	17637
557	22214	17596
558	22255	17557
559	22286	17510
560	22320	17466
561	22353	17421
562	22388	17377
563	22426	17337
564	22471	17300
565	22510	17260
566	22554	17224
567	22593	17183
568	22632	17143
569	22664	17098
570	22699	17054
571	22740	17015
572	22780	16976
573	22816	16933
574	22852	16891
575	22890	16849
576	22925	16806
577	22964	16766
578	23002	16725
579	23042	16685
580	23078	16643
581	23113	16600
582	23142	16553
583	23177	16510
584	23216	16469
585	23250	16426
586	23293	16388
587	23329	16346
588	23360	16300
589	23401	16262
590	23439	16221
591	23469	16174
592	23508	16134
593	23556	16101
594	23597	16062
595	23635	16021
596	23675	15981
597	23713	15940
598	23749	15898
599	23786	15857
600	23820	15814
601	23864	15777
602	23909	15741
603	23946	15699
604	23982	15658
605	24026	15621
606	24066	15581
607	24098	15537
608	24139	15498
609	24175	15456
610	24211	15414
611	24250	15374
612	24281	15329
613	24314	15285
614	24356	15247
615	24397	15208
616	24436	15168
617	24479	15131
618	24512	15087
619	24551	15047
620	24589	15007
621	24623	14964
622	24656	14920
623	24693	14879
624	24728	14837
625	24760	14792
626	24801	14754
627	24837	14712
628	24868	14668
629	24905	14627
630	24942	14586
631	24981	14546
632	25024	14508
633	25057	14465
634	25093	14424
635	25131	14383
636	25164	14340
637	25205	14301
638	25250	14265
639	25283	14221
640	25315	14177
641	25355	14138
642	25396	14100
643	25434	14060
644	25471	14019
645	25513	13980
646	25546	13938
647	25585	13898
648	25624	13858
649	25664	13819
650	25703	13779
651	25737	13736
652	25775	13697
653	25815	13657
654	25857	13619
655	25899	13581
656	25937	13541
657	25972	13499
658	26008	13458
659	26046	13417
660	26077	13374
661	26110	13331
662	26149	13291
663	26184	13250
664	26228	13212
665	26271	13175
666	26301	13130
667	26338	13090
668	26374	13049
669	26408	13006
670	26447	12967
671	26488	12928
672	26523	12887
673	26554	12844
674	26598	12806
675	26635	12766
676	26672	12725
677	26707	12683
678	26745	12644
679	26780	12602
680	26818	12562
681	26855	12521
682	26890	12480
683	26927	12440
684	26964	12399
685	27002	12359
686	27038	12318
687	27076	12278
688	27112	12238
689	27142	12194
690	27180	12154
691	27217	12114
692	27257	12075
693	27288	12032
694	27328	11993
695	27368	11954
696	27412	11916
697	27453	11877
698	27490	11837
699	27528	11797
700	27561	11756
701	27598	11715
702	27634	11674
703	27669	11633
704	27702	11592
705	27739	11551
706	27778	11512
707	27817	11472
708	27856	11433
709	27897	11394
710	27935	11355
711	27968	11313
712	27999	11270
713	28032	11228
714	28071	11189
715	28104	11147
716	28139	11106
717	28179	11067
718	28216	11027
719	28255	10988
720	28290	10947
721	28325	10906
722	28362	10866
723	28404	10828
724	28445	10789
725	28483	10749
726	28518	10708
727	28553	10668
728	28591	10628
729	28628	10588
730	28666	10549
731	28698	10507
732	28735	10467
733	28772	10427
734	28811	10387
735	28851	10348
736	28891	10309
737	28933	10271
738	28963	10229
739	29001	10189
740	29044	10151
741	29084	10112
742	29122	10073
743	29157	10032
744	29193	9992
745	29228	9951
746	29267	9912
747	29300	9871
748	29335	9830
749	29374	9791
750	29406	9750
751	29441	9709
752	29485	9671
753	29517	9630
754	29555	9590
755	29596	9552
756	29632	9512
757	29672	9473
758	29710	9433
759	29747	9393
760	29785	9354
761	29823	9315
762	29858	9274
763	29892	9233
764	29930	9194
765	29967	9154
766	30004	9114
767	30043	9075
768	30075	9034
769	30117	8996
770	30153	8956
771	30191	8916
772	30234	8878
773	30271	8838
774	30305	8798
775	30341	8758
776	30376	8718
777	30413	8678
778	30449	8638
779	30481	8597
780	30520	8558
781	30562	8520
782	30595	8479
783	30630	8438
784	30668	8399
785	30700	8358
786	30738	8319
787	30774	8279
788	30815	8241
789	30851	8201
790	30890	8161
791	30926	8122
792	30962	8082
793	31007	8044
794	31045	8005
795	31081	7965
796	31119	7926
797	31157	7887
798	31195	7847
799	31235	7808
800	31271	7769
801	31308	7729
802	31345	7689
803	31385	7651
804	31422	7611
805	31457	7571
806	31493	7531
807	31525	7491
808	31561	7451
809	31594	7411
810	31631	7371
811	31668	7332
812	31699	7291
813	31739	7252
814	31776	7213
815	31813	7173
816	31852	7134
817	31884	7094
818	31917	7053
819	31954	7014
820	31991	6975
821	32031	6936
822	32066	6896
823	32107	6857
824	32145	6818
825	32176	6778
826	32216	6739
827	32252	6699
828	32290	6660
829	32327	6621
830	32368	6582
831	32405	6543
832	32445	6504
833	32481	6465
834	32520	6426
835	32562	6387
836	32598	6348
837	32634	6308
838	32670	6269
839	32708	6230
840	32745	6190
841	32782	6151
842	32818	6112
843	32855	6072
844	32895	6034
845	32927	5993
846	32964	5954
847	33005	5916
848	33048	5877
849	33087	5838
850	33128	5800
851	33163	5760
852	33204	5722
853	33244	5683
854	33279	5643
855	33318	5604
856	33350	5564
857	33389	5525
858	33428	5487
859	33468	5448
860	33503	5408
861	33542	5369
862	33582	5331
863	33620	5292
864	33656	5252
865	33690	5213
866	33726	5173
867	33761	5134
868	33806	5096
869	33842	5056
870	33878	5017
871	33912	4978
872	33950	4938
873	33992	4900
874	34030	4861
875	34069	4822
876	34102	4782
877	34134	4743
878	34167	4703
879	34200	4663
880	34236	4624
881	34268	4584
882	34305	4545
883	34345	4506
884	34379	4467
885	34415	4428
886	34458	4389
887	34489	4350
888	34523	4310
889	34559	4271
890	34593	4232
891	34630	4192
892	34670	4154
893	34703	4114
894	34736	4075
895	34770	4035
896	34805	3996
897	34847	3958
898	34884	3919
899	34925	3880
900	34964	3841
901	34996	3802
902	35038	3763
903	35075	3724
904	35111	3685
905	35145	3646
906	35181	3607
907	35218	3568
908	35258	3529
909	35295	3490
910	35331	3451
911	35370	3412
912	35405	3373
913	35439	3334
914	35479	3295
915	35512	3256
916	35545	3217
917	35578	3178
918	35620	3139
919	35656	3100
920	35693	3061
921	35733	3022
922	35770	2984
923	35805	2945
924	35841	2906
925	35877	2867
926	35913	2828
927	35949	2789
928	35983	2750
929	36021	2711
930	36055	2672
931	36087	2632
932	36126	2594
933	36163	2555
934	36201	2516
935	36238	2477
936	36273	2438
937	36305	2399
938	36341	2360
939	36377	2321
940	36415	2283
941	36449	2244
942	36491	2205
943	36525	2166
944	36560	2127
945	36593	2088
946	36635	2050
947	36672	2011
948	36704	1972
949	36744	1933
950	36779	1895
951	36818	1856
952	36858	1817
953	36901	1779
954	36938	1740
955	36979	1701
956	37011	1663
957	37043	1624
958	37078	1585
959	37114	1546
960	37151	1507
961	37187	1468
962	37220	1430
963	37260	1391
964	37302	1352
965	37344	1314
966	37382	1275
967	37423	1237
968	37455	1198
969	37492	1159
970	37528	1120
971	37571	1082
972	37609	1043
973	37644	1004
974	37684	966
975	37726	927
976	37767	889
977	37816	850
978	37859	812
979	37900	773
980	37937	734
981	37975	696
982	38014	657
983	38057	618
984	38095	580
985	38141	541
986	38177	502
987	38216	464
988	38252	425
989	38290	386
990	38333	348
991	38362	309
992	38403	270
993	38437	232
994	38476	193
995	38514	154
996	38553	116
997	38602	77
998	38658	38
999	38714	0
